Date,Obs Speed,Distance Obs,ME FOC,AE FOC,Bunker Grade,Wind Force,Mean Draft
2024-01-01,13.6,319.8,34.38,2.99,HFO,1,12.3
2024-01-02,12.26,290.3,28.87,2.51,HFO,5,12.41
2024-01-03,13.93,329.5,37.09,3.23,HFO,1,11.45
2024-01-04,13.29,311.5,35.25,3.06,HFO,5,11.54
2024-01-05,10.88,259.3,20.94,1.82,HFO,5,13.72
2024-01-06,14.4,348.3,38.15,3.32,HFO,1,11.13
2024-01-07,13.54,324.1,37.13,3.23,HFO,6,11.7
2024-01-08,13.64,328.1,35.36,3.08,HFO,3,11.88
2024-01-09,11.01,267.2,21.0,1.83,HFO,6,12.47
2024-01-10,12.3,299.2,25.52,2.22,HFO,1,12.76
2024-01-11,11.98,287.4,22.61,1.97,HFO,2,12.48
2024-01-12,14.21,345.6,40.18,3.49,HFO,4,11.25
2024-01-13,13.08,314.1,32.64,2.84,HFO,2,11.73
2024-01-14,13.79,328.2,34.76,3.02,HFO,3,13.53
2024-01-15,12.27,292.8,28.08,2.44,HFO,5,12.91
2024-01-16,11.41,269.8,20.45,1.78,HFO,2,12.95
2024-01-17,12.72,302.5,31.71,2.76,HFO,5,13.01
2024-01-18,10.76,257.2,16.77,1.46,HFO,1,13.29
2024-01-19,13.81,334.1,36.31,3.16,HFO,2,11.17
2024-01-20,13.03,318.0,34.59,3.01,HFO,5,12.1
2024-01-21,13.53,-5.0,39.64,3.45,HFO,6,12.62
2024-01-22,11.92,287.2,24.84,2.16,HFO,2,12.02
2024-01-23,14.38,341.6,42.98,3.74,HFO,3,13.53
2024-01-24,14.07,339.3,41.95,3.65,HFO,7,12.45
2024-01-25,13.61,326.3,38.99,3.39,HFO,7,13.31
2024-01-26,11.28,265.7,21.79,1.9,HFO,5,13.56
2024-01-27,12.37,299.6,27.1,2.36,HFO,4,12.51
2024-01-28,10.68,254.7,16.87,1.47,HFO,3,13.73
2024-01-29,11.12,265.4,20.47,1.78,HFO,5,12.76
2024-01-30,13.23,314.2,34.96,3.04,HFO,5,13.55
2024-01-31,13.48,321.4,35.33,3.07,HFO,3,12.02
2024-02-01,14.37,346.4,40.12,3.49,HFO,1,12.5
2024-02-02,11.8,282.7,23.6,2.05,HFO,2,12.59
2024-02-03,11.98,288.5,27.12,2.36,HFO,7,11.31
2024-02-04,12.38,298.2,27.56,2.4,HFO,3,12.2
2024-02-05,11.26,273.8,20.49,1.78,HFO,4,13.75
2024-02-06,11.02,263.6,19.83,1.72,HFO,4,12.89
2024-02-07,12.4,293.3,29.12,2.53,HFO,6,11.53
2024-02-08,11.41,276.7,19.89,1.73,HFO,1,12.02
2024-02-09,13.18,315.3,32.15,2.8,HFO,1,11.57
2024-02-10,12.25,297.2,24.96,2.17,HFO,2,11.07
2024-02-11,13.83,333.2,36.69,3.19,HFO,4,13.78
2024-02-12,13.3,318.8,38.7,3.36,HFO,5,12.34
2024-02-13,11.75,283.0,23.31,2.03,HFO,4,11.92
2024-02-14,13.83,338.4,36.52,3.18,HFO,4,12.8
2024-02-15,13.72,336.1,40.37,3.51,HFO,7,11.02
2024-02-16,12.05,289.4,24.73,2.15,HFO,2,11.83
2024-02-17,11.65,280.1,23.81,2.07,HFO,5,13.11
2024-02-18,13.23,320.9,32.07,2.79,HFO,4,12.9
2024-02-19,11.06,263.2,19.31,1.68,HFO,4,13.95
2024-02-20,11.3,272.1,999.0,1.95,HFO,6,12.86
2024-02-21,10.53,252.6,16.83,1.46,HFO,2,12.43
2024-02-22,13.65,328.6,38.44,3.34,HFO,7,13.28
2024-02-23,13.16,313.2,32.58,2.83,HFO,3,13.71
2024-02-24,13.32,314.6,33.58,2.92,HFO,4,13.16
2024-02-25,13.62,320.2,36.3,3.16,HFO,4,13.89
2024-02-26,12.34,292.7,30.63,2.66,HFO,6,13.35
2024-02-27,12.77,305.2,27.77,2.41,HFO,4,13.6
2024-02-28,11.06,264.6,18.87,1.64,HFO,2,11.34
2024-02-29,10.96,268.1,19.03,1.65,HFO,1,13.2
2024-03-01,13.17,319.7,30.96,2.69,HFO,3,12.32
2024-03-02,12.38,294.4,31.87,2.77,HFO,6,12.66
2024-03-03,12.76,307.3,29.9,2.6,HFO,1,12.96
2024-03-04,13.56,324.1,40.15,3.49,HFO,7,13.91
2024-03-05,13.04,312.0,31.04,2.7,HFO,4,13.95
2024-03-06,12.71,305.7,30.01,2.61,HFO,1,11.86
2024-03-07,12.74,307.6,30.41,2.64,HFO,3,13.2
2024-03-08,11.72,280.2,23.1,2.01,HFO,4,13.25
2024-03-09,10.62,257.7,17.23,1.5,HFO,3,12.04
2024-03-10,12.25,290.6,26.44,2.3,HFO,1,11.37
2024-03-11,11.36,272.6,22.74,1.98,HFO,5,11.12
2024-03-12,12.13,298.8,28.9,2.51,HFO,5,13.33
2024-03-13,13.91,334.7,38.34,3.33,HFO,1,12.47
2024-03-14,11.44,278.4,21.64,1.88,HFO,2,13.96
2024-03-15,10.73,257.8,18.23,1.59,HFO,2,12.39
2024-03-16,11.63,280.6,24.5,2.13,HFO,5,13.93
2024-03-17,11.67,280.0,25.7,2.24,HFO,6,12.23
2024-03-18,13.15,315.0,36.09,3.14,HFO,6,13.38
2024-03-19,12.73,303.1,30.55,2.66,HFO,7,11.25
2024-03-20,13.64,328.7,39.37,3.42,HFO,6,12.67
2024-03-21,0.0,313.1,32.9,2.86,HFO,3,13.41
2024-03-22,12.13,293.0,26.26,2.28,HFO,1,13.77
2024-03-23,13.76,333.7,40.45,3.52,HFO,5,13.47
2024-03-24,11.17,269.0,22.17,1.93,HFO,7,11.11
2024-03-25,10.59,253.5,20.02,1.74,HFO,7,12.12
2024-03-26,10.86,261.8,18.9,1.64,HFO,2,11.15
2024-03-27,13.39,320.4,35.14,3.06,HFO,2,11.33
2024-03-28,12.35,299.1,29.01,2.52,HFO,1,13.03
2024-03-29,11.15,262.6,19.83,1.72,HFO,1,13.14
2024-03-30,12.5,299.1,26.5,2.3,HFO,4,13.32
2024-03-31,11.11,261.3,20.73,1.8,HFO,4,13.6
2024-04-01,13.29,314.1,33.38,2.9,HFO,3,13.22
2024-04-02,12.28,298.9,26.86,2.34,HFO,3,13.4
2024-04-03,12.02,291.2,28.95,2.52,HFO,6,11.15
2024-04-04,11.71,278.9,22.07,1.92,HFO,4,11.7
2024-04-05,13.02,307.8,33.47,2.91,HFO,6,12.87
2024-04-06,11.95,278.2,25.41,2.21,HFO,7,13.57
2024-04-07,10.85,259.0,18.05,1.57,HFO,3,11.01
2024-04-08,10.97,269.7,19.38,1.69,HFO,2,12.54
2024-04-09,14.35,345.8,49.34,4.29,HFO,7,13.03
2024-04-10,14.13,337.3,43.51,3.78,HFO,5,11.09
2024-04-11,13.3,320.7,32.66,2.84,HFO,3,12.2
2024-04-12,11.56,273.2,22.42,1.95,HFO,5,13.69
2024-04-13,14.38,344.0,43.21,3.76,HFO,4,13.01
2024-04-14,13.62,327.1,40.01,3.48,HFO,7,11.71
2024-04-15,13.37,320.5,35.19,3.06,HFO,2,13.56
2024-04-16,12.3,297.5,29.12,2.53,HFO,7,12.04
2024-04-17,11.59,279.1,24.72,2.15,HFO,7,13.56
2024-04-18,10.89,263.0,19.2,1.67,HFO,2,11.9
2024-04-19,14.11,336.3,41.18,3.58,HFO,2,12.77
2024-04-20,12.32,298.4,27.69,2.41,HFO,4,12.19
2024-04-21,11.31,275.8,20.63,1.79,HFO,1,11.82
2024-04-22,11.72,278.6,23.37,2.03,HFO,3,13.66
2024-04-23,12.82,304.9,30.89,2.69,HFO,4,11.56
2024-04-24,11.21,272.6,23.87,2.08,HFO,7,11.25
2024-04-25,13.93,333.6,44.43,3.86,HFO,7,12.03
2024-04-26,13.53,329.4,36.78,3.2,HFO,2,13.15
2024-04-27,13.38,319.6,39.23,3.41,HFO,7,13.42
2024-04-28,12.23,297.8,26.64,2.32,HFO,1,14.0
2024-04-29,13.01,312.6,36.78,3.2,HFO,6,11.89
